label_index	winner_index	loser_index	evaluator_index
0	29	52	124
1	29	52	47
2	29	52	112
3	29	52	9
4	29	52	130
5	29	52	132
6	29	52	102
7	29	52	104
8	29	52	73
9	29	52	154
10	29	52	167
11	29	52	27
12	29	52	177
13	36	52	47
14	36	52	112
15	36	52	89
16	36	52	182
17	36	52	5
18	36	52	145
19	36	52	36
20	36	52	87
21	50	52	159
22	50	52	131
23	50	52	150
24	50	52	86
25	50	52	80
26	50	52	24
27	50	52	130
28	50	52	55
29	50	52	163
30	50	52	5
31	50	52	114
32	11	52	150
33	11	52	52
34	11	52	52
35	11	52	73
36	11	52	27
37	3	52	112
38	3	52	74
39	3	52	5
40	3	52	72
41	3	52	68
42	3	52	109
43	23	52	159
44	23	52	99
45	23	52	132
46	23	52	18
47	23	52	74
48	23	52	5
49	23	52	72
50	23	52	72
51	23	52	167
52	23	52	94
53	23	52	170
54	23	52	81
55	23	52	57
56	26	52	47
57	26	52	12
58	26	52	12
59	26	52	52
60	26	52	27
61	26	52	36
62	26	52	36
63	26	52	87
64	26	52	125
65	26	52	177
66	19	52	159
67	19	52	106
68	19	52	86
69	19	52	130
70	19	52	55
71	19	52	178
72	19	52	72
73	19	52	154
74	19	52	119
75	63	52	153
76	63	52	82
77	63	52	12
78	63	52	151
79	63	52	104
80	63	52	74
81	63	52	74
82	63	52	52
83	63	52	154
84	63	52	36
85	63	52	36
86	63	52	176
87	24	52	159
88	24	52	159
89	24	52	106
90	24	52	80
91	24	52	24
92	24	52	163
93	24	52	5
94	24	52	72
95	24	52	94
96	24	52	36
97	24	52	36
98	24	52	81
99	24	52	177
100	40	52	131
101	40	52	24
102	40	52	7
103	40	52	74
104	40	52	114
105	40	52	114
106	40	52	114
107	40	52	109
108	40	52	109
109	40	52	81
110	16	52	159
111	16	52	130
112	16	52	7
113	16	52	23
114	16	52	33
115	16	52	154
116	16	52	68
117	16	52	161
118	16	52	96
119	21	52	47
120	21	52	151
121	21	52	33
122	21	52	33
123	21	52	104
124	21	52	52
125	21	52	73
126	21	52	35
127	18	52	112
128	18	52	5
129	18	52	5
130	18	52	109
131	0	52	102
132	0	52	149
133	0	52	149
134	0	52	167
135	0	52	177
136	53	52	159
137	53	52	131
138	53	52	131
139	53	52	86
140	53	52	9
141	53	52	151
142	53	52	89
143	53	52	163
144	53	52	74
145	53	52	119
146	53	52	68
147	53	52	87
148	53	52	81
149	53	52	81
150	53	52	161
151	6	52	100
152	6	52	130
153	6	52	33
154	6	52	33
155	6	52	73
156	6	52	73
157	6	52	35
158	6	52	109
159	35	52	158
160	35	52	39
161	35	52	37
162	35	52	55
163	35	52	151
164	35	52	33
165	35	52	104
166	35	52	81
167	35	52	121
168	42	52	159
169	42	52	106
170	42	52	24
171	42	52	130
172	42	52	130
173	42	52	33
174	42	52	154
175	42	52	154
176	42	52	167
177	15	52	159
178	15	52	153
179	15	52	130
180	15	52	71
181	15	52	154
182	15	52	57
183	54	52	106
184	54	52	71
185	54	52	7
186	54	52	163
187	54	52	5
188	54	52	5
189	54	52	154
190	54	52	27
191	54	52	36
192	54	52	81
193	54	52	177
194	10	52	153
195	10	52	169
196	10	52	132
197	10	52	102
198	10	52	55
199	10	52	156
200	10	52	12
201	10	52	7
202	10	52	33
203	10	52	8
204	10	52	5
205	10	52	81
206	38	52	159
207	38	52	131
208	38	52	86
209	38	52	153
210	38	52	130
211	38	52	12
212	38	52	154
213	38	52	94
214	25	52	173
215	25	52	112
216	25	52	130
217	25	52	13
218	25	52	104
219	25	52	154
220	25	52	154
221	25	52	114
222	25	52	119
223	25	52	27
224	25	52	81
225	57	52	159
226	57	52	86
227	57	52	148
228	57	52	132
229	57	52	102
230	57	52	55
231	57	52	151
232	57	52	33
233	57	52	104
234	57	52	78
235	57	52	167
236	57	52	84
237	46	52	47
238	46	52	114
239	46	52	28
240	46	52	35
241	46	52	27
242	47	52	106
243	47	52	106
244	47	52	112
245	47	52	86
246	47	52	153
247	47	52	169
248	47	52	102
249	47	52	7
250	47	52	5
251	47	52	114
252	47	52	167
253	47	52	117
254	47	52	109
255	47	52	81
256	47	52	81
257	12	52	176
258	28	52	173
259	28	52	131
260	28	52	131
261	28	52	131
262	28	52	131
263	28	52	130
264	28	52	55
265	28	52	151
266	28	52	74
267	28	52	74
268	28	52	73
269	28	52	5
270	28	52	178
271	28	52	170
272	28	52	170
273	28	52	109
274	28	52	176
275	61	52	106
276	61	52	86
277	61	52	80
278	61	52	102
279	61	52	23
280	61	52	151
281	61	52	74
282	61	52	154
283	61	52	154
284	61	52	167
285	61	52	68
286	61	52	68
287	61	52	81
288	61	52	121
289	61	52	121
290	48	52	112
291	48	52	112
292	48	52	153
293	48	52	163
294	48	52	74
295	48	52	74
296	48	52	52
297	48	52	5
298	48	52	114
299	48	52	167
300	48	52	68
301	48	52	170
302	48	52	177
303	8	52	158
304	8	52	114
305	8	52	149
306	8	52	68
307	8	52	121
308	8	52	57
309	17	52	159
310	17	52	131
311	17	52	130
312	17	52	132
313	17	52	121
314	65	52	159
315	65	52	106
316	65	52	153
317	65	52	130
318	65	52	130
319	65	52	74
320	65	52	5
321	65	52	28
322	65	52	68
323	65	52	117
324	65	52	81
325	65	52	177
326	65	52	121
327	64	52	173
328	64	52	86
329	64	52	153
330	64	52	80
331	64	52	102
332	64	52	12
333	64	52	7
334	64	52	151
335	64	52	151
336	64	52	52
337	64	52	114
338	64	52	149
339	64	52	125
340	1	52	86
341	1	52	130
342	14	52	150
343	14	52	106
344	14	52	153
345	14	52	153
346	14	52	80
347	14	52	23
348	14	52	23
349	14	52	5
350	14	52	35
351	14	52	68
352	14	52	94
353	14	52	81
354	55	52	173
355	55	52	159
356	55	52	150
357	55	52	153
358	55	52	39
359	55	52	130
360	55	52	33
361	55	52	74
362	55	52	73
363	55	52	5
364	55	52	63
365	55	52	94
366	55	52	109
367	55	52	160
368	55	52	177
369	55	52	177
370	49	52	153
371	49	52	24
372	49	52	9
373	49	52	132
374	49	52	63
375	49	52	149
376	49	52	35
377	49	52	109
378	49	52	177
379	32	52	130
380	32	52	83
381	32	52	114
382	32	52	117
383	32	52	109
384	60	52	131
385	60	52	69
386	60	52	106
387	60	52	86
388	60	52	86
389	60	52	24
390	60	52	65
391	60	52	23
392	60	52	68
393	30	52	131
394	30	52	169
395	30	52	12
396	30	52	151
397	30	52	163
398	30	52	36
399	33	52	159
400	33	52	112
401	33	52	24
402	33	52	12
403	33	52	151
404	33	52	114
405	33	52	149
406	33	52	167
407	33	52	152
408	33	52	117
409	20	52	3
410	20	52	74
411	20	52	73
412	20	52	73
413	20	52	72
414	20	52	119
415	20	52	78
416	20	52	109
417	20	52	121
418	31	52	112
419	31	52	132
420	31	52	7
421	31	52	151
422	31	52	33
423	31	52	104
424	31	52	73
425	31	52	149
426	31	52	17
427	31	52	68
428	31	52	0
429	31	52	137
430	31	52	87
431	31	52	87
432	39	52	47
433	39	52	112
434	39	52	169
435	39	52	132
436	39	52	102
437	39	52	89
438	39	52	73
439	39	52	154
440	39	52	114
441	39	52	149
442	39	52	119
443	39	52	28
444	39	52	81
445	45	52	173
446	45	52	159
447	45	52	159
448	45	52	131
449	45	52	130
450	45	52	102
451	45	52	7
452	45	52	114
453	45	52	114
454	45	52	167
455	45	52	68
456	45	52	81
457	9	52	24
458	9	52	102
459	9	52	102
460	9	52	89
461	9	52	89
462	9	52	74
463	9	52	52
464	9	52	73
465	9	52	154
466	9	52	149
467	9	52	94
468	9	52	27
469	9	52	111
470	9	52	177
471	51	52	134
472	51	52	80
473	51	52	130
474	51	52	130
475	51	52	55
476	51	52	7
477	51	52	151
478	51	52	182
479	51	52	182
480	51	52	11
481	51	52	104
482	51	52	5
483	51	52	68
484	51	52	170
485	51	52	36
486	51	52	121
487	58	52	24
488	58	52	9
489	58	52	73
490	58	52	35
491	58	52	27
492	56	52	106
493	56	52	24
494	56	52	120
495	2	52	159
496	2	52	86
497	2	52	132
498	2	52	132
499	2	52	55
500	2	52	163
501	2	52	74
502	2	52	5
503	2	52	149
504	2	52	119
505	2	52	167
506	2	52	167
507	2	52	68
508	2	52	94
509	34	52	106
510	34	52	112
511	34	52	153
512	34	52	80
513	34	52	130
514	34	52	130
515	34	52	7
516	34	52	33
517	34	52	104
518	34	52	5
519	34	52	154
520	34	52	167
521	34	52	167
522	34	52	68
523	44	52	158
524	44	52	24
525	44	52	24
526	44	52	130
527	44	52	55
528	44	52	89
529	44	52	89
530	44	52	52
531	44	52	114
532	44	52	167
533	44	52	167
534	44	52	170
535	13	52	106
536	13	52	158
537	13	52	80
538	13	52	7
539	13	52	154
540	13	52	114
541	13	52	119
542	13	52	139
543	13	52	109
544	13	52	161
545	37	52	24
546	37	52	156
547	37	52	89
548	37	52	114
549	37	52	114
550	37	52	35
551	37	52	94
552	37	52	117
553	37	52	81
554	27	52	24
555	27	52	74
556	27	52	52
557	27	52	149
558	27	52	181
559	27	52	36
560	62	52	173
561	62	52	47
562	62	52	159
563	62	52	9
564	62	52	83
565	62	52	102
566	62	52	12
567	62	52	163
568	62	52	52
569	62	52	114
570	62	52	119
571	62	52	68
572	62	52	109
573	62	52	161
574	4	52	169
575	4	52	12
576	4	52	74
577	4	52	74
578	4	52	27
579	41	52	47
580	41	52	131
581	41	52	153
582	41	52	52
583	41	52	94
584	41	52	94
585	41	52	117
586	41	52	109
587	43	52	131
588	43	52	9
589	43	52	130
590	43	52	55
591	43	52	12
592	43	52	89
593	43	52	33
594	43	52	163
595	43	52	73
596	43	52	114
597	43	52	68
598	43	52	162
599	43	52	87
600	59	52	112
601	59	52	127
602	59	52	37
603	59	52	33
604	59	52	104
605	59	52	149
606	59	52	149
607	59	52	161
608	59	52	161
609	22	52	153
610	22	52	27
611	5	52	80
612	5	52	73
613	5	52	27
614	5	52	27
615	5	52	109
616	7	52	6
617	29	43	124
618	29	43	99
619	29	43	99
620	29	43	112
621	29	43	169
622	29	43	80
623	29	43	23
624	29	43	5
625	29	43	167
626	29	43	68
627	29	43	113
628	29	43	161
629	29	43	57
630	36	43	115
631	36	43	158
632	36	43	158
633	36	43	27
634	36	43	81
635	50	43	130
636	50	43	73
637	50	43	5
638	50	43	35
639	50	43	68
640	50	43	68
641	11	43	144
642	3	43	24
643	3	43	148
644	3	43	22
645	3	43	7
646	3	43	74
647	3	43	114
648	23	43	131
649	23	43	131
650	23	43	131
651	23	43	158
652	23	43	104
653	23	43	73
654	23	43	114
655	23	43	149
656	23	43	35
657	23	43	68
658	23	43	109
659	26	43	47
660	26	43	106
661	26	43	130
662	26	43	12
663	26	43	167
664	26	43	161
665	26	43	161
666	19	43	131
667	19	43	112
668	19	43	158
669	19	43	72
670	19	43	154
671	19	43	114
672	19	43	78
673	19	43	68
674	19	43	27
675	19	43	20
676	63	43	106
677	63	43	86
678	63	43	24
679	63	43	24
680	63	43	22
681	63	43	12
682	63	43	73
683	63	43	167
684	63	43	35
685	63	43	94
686	63	43	36
687	63	43	109
688	63	43	87
689	24	43	86
690	24	43	132
691	24	43	7
692	24	43	5
693	24	43	1
694	24	43	167
695	24	43	167
696	24	43	161
697	24	43	161
698	40	43	169
699	40	43	12
700	40	43	74
701	40	43	149
702	40	43	54
703	16	43	131
704	16	43	158
705	16	43	24
706	16	43	156
707	16	43	7
708	16	43	163
709	16	43	167
710	16	43	68
711	16	43	117
712	21	43	158
713	21	43	158
714	21	43	130
715	21	43	154
716	18	43	24
717	18	43	27
718	18	43	161
719	52	43	24
720	52	43	78
721	52	43	28
722	52	43	109
723	52	43	109
724	52	43	161
725	52	43	85
726	0	43	24
727	0	43	74
728	0	43	149
729	53	43	132
730	53	43	22
731	53	43	73
732	53	43	40
733	53	43	72
734	53	43	35
735	53	43	35
736	53	43	68
737	53	43	170
738	53	43	177
739	6	43	158
740	6	43	158
741	6	43	24
742	6	43	73
743	6	43	5
744	6	43	119
745	6	43	119
746	6	43	27
747	6	43	27
748	35	43	143
749	35	43	106
750	35	43	3
751	35	43	22
752	35	43	72
753	35	43	167
754	35	43	68
755	35	43	161
756	42	43	80
757	42	43	130
758	42	43	22
759	42	43	119
760	42	43	167
761	42	43	35
762	15	43	169
763	15	43	80
764	15	43	7
765	15	43	23
766	15	43	78
767	15	43	139
768	15	43	177
769	15	43	177
770	54	43	169
771	54	43	169
772	54	43	130
773	54	43	71
774	54	43	22
775	54	43	22
776	54	43	12
777	54	43	167
778	54	43	167
779	54	43	167
780	54	43	36
781	10	43	131
782	10	43	7
783	10	43	23
784	10	43	74
785	10	43	73
786	10	43	72
787	10	43	68
788	10	43	68
789	10	43	36
790	38	43	132
791	38	43	156
792	38	43	5
793	38	43	27
794	25	43	131
795	25	43	153
796	25	43	80
797	25	43	130
798	25	43	156
799	25	43	167
800	25	43	68
801	25	43	161
802	25	43	161
803	57	43	99
804	57	43	99
805	57	43	80
806	57	43	24
807	57	43	33
808	57	43	74
809	57	43	119
810	57	43	35
811	57	43	68
812	46	43	143
813	46	43	0
814	46	43	125
815	47	43	86
816	47	43	105
817	47	43	24
818	47	43	55
819	47	43	23
820	47	43	163
821	47	43	5
822	47	43	68
823	47	43	27
824	47	43	36
825	47	43	160
826	12	43	86
827	12	43	24
828	12	43	22
829	28	43	47
830	28	43	47
831	28	43	159
832	28	43	159
833	28	43	131
834	28	43	80
835	28	43	73
836	28	43	114
