idea_index	idea
0	学内のあらゆる場所に自転車の放置を禁止する旨を記したチラシを貼ることで、間接的に学生の意識を向上させる。
1	「駐輪場の設立、自転車利用者への呼びかけ・啓蒙活動」
2	自転車通学の許可証シールを交付し、それがない自転車は予告なく撤去するルールを設ける。
3	1か月以上放置されている自転車は処分する。
4	まず、生徒が自転車に乗る場合、許可制にする。 許可を得た者は許可シールをもらう。シールには番号が書いてあり誰の自転車か、すぐわかるようにする。 シールが貼ってない自転車は大学の貸し自転車にする。
5	美観を損ねないように、彫刻など美術品の設置をしたり、植樹を行う。
6	年度ごとに番号を振り分けた学生用のタグを配布して、専用の置き場を設ける。一般用は別の置き場を設け、放置自転車は撤去の注意書きを掲示しておく。
7	防犯登録によって持ち主を照会し、大学内に罰則付きの掲示をする。
8	自転車を放置した場合、罰金を徴収する。
9	放置自転車に貼り紙を貼り、注意を促す。
10	自転車の放置は一台や二台あると次々と置かれてしまうので 一度撤去した後に少数人数でもいいので指摘する警備員のような人を 1,2か月配置してみる。
11	自転車通学されるかたの通行証の、発行を行う。 通行証登録をしないと自転車通学を認めない。 通行証には自転車の登録ナンバーを記入。
12	生徒が停めてもよい駐輪場番号をそれぞれ与えて停めさせ、それ以外に放置されている自転車は放置自転車として施錠できる空間に集める。
13	植木やカラーコーンなどを置いて止められないようにする
14	決められた置き場に置かなければカウントされ、何回かすると、ペナルティか課せられる。
15	放置した人に対して分かるように、具体的な罰金額を提示した看板を立てる。
16	指定の場所以外の自転車は1週間でリサイクル業者に無償で引き取ってもらう。
17	数日間放置されてる様なら大学の別な敷地に移動させる、持ち主が現れたら撤去費用として数100円徴収
18	業者などの雇って強制的に排除する
19	定期的に放置自転車を撤去する
20	大学の学生の自転車にはステッカーを貼り、それ以外の自転車はその都度撤去し売る（放置自転車は即刻売却しますとの貼り紙をする）
21	放置自転車の撤去作業を生徒たちに行わせる。
22	警備員を巡回させ、放置する人を見つけたら罰金をとるようにする。
23	「こちらは大学の敷地内です。放置自転車は見つけ次第撤去いたします。」と張り紙をする。
24	自転車を駐輪する装置を設置して、駐輪の際に個人の裁量によるバラつきが不能となるようにする。 装置を利用せず駐輪している自転車は撤去する。 
25	自転車に識別シールの貼付を義務化し、放置車両の持ち主にペナルティを課す。シール未貼付の車両は処分する。
26	放置されていてもおしゃれに感じる位おしゃれな自転車以外は完全に乗り入れ禁止にする。
27	放置の多いところに「自転車盗難多発地帯」と貼り紙をしてみる。
28	駐輪場など特定の場所以外には自転車が侵入できないようにしたり、放置自転車の多い箇所には自転車が置けないようベンチを配置などする。
29	「その場所に仏像、天使像を置いたり、花壇または鉢植えを置く。」
30	駐輪禁止の地面に、近隣の児童が描いた絵の石板を敷く。
31	１．私物の自転車の敷地内での乗車は禁止し、違反車両を没収する。 ２．建物の利用状況や人の動きから、適当な自転車の台数を用意する。 ３．自転車は広報やメッセージなどを学生から募集して、非常に目立たせる。色色の特徴のあるものにする。 （orお店や会社からＣＭを募集する） ４．自転車は事前に届出をした学生が使えるようにし、必ず返却してもらう。
32	駐輪場を整備して、地面に白線をひくなどして整然と停めることができるよう工夫する一方、放置した自転車を回収し、悪質な学生は氏名を公表する。
33	自転車の置場所を決めておき、所有者を明確にし、届け出がない人以外は乗れないようにする
34	まず放置自転車が多い場所に張り紙をして交通の妨げになっているので自転車を止めないように注意を促し、さらに１ヶ月以内に撤去しない自転車は全てその場から回収すると通達すれば良い。
35	植木などを置いて自転車をとめられなくする
36	撤去。
37	敷地内は個人の自転車持ち込み禁止にし、決められた場所にあるレンタルサイクルのみ通行OKとする。学生は学籍番号のみでレンタルでき所定の場所に返せば無料で利用できるようにする。
38	大学敷地外に大学在学生専用駐輪場を建設する。
39	植木を植樹するなど、放置自転車を置くスペースを少なくする。
40	看板などを使って注意を促す。
41	大学構内に自転車を入れない。構内移動用の目立つ自転車を導入。大学構内入り口に自転車駐車場を設け登録制にする。
42	放置自転車が多い場所に、植木鉢を設置することで美観を良くし、自転車を置いてはいけない雰囲気を作る。
43	棟ごとに駐輪スペースを設ける
44	春と秋に無償で不要な自転車を大学主催で回収する。それに合わせて、不要な自転車の部品だけでいかに高性能な自転車を再構築できるか腕試しできる学内コンテストを開催する。
45	撤去案内の札をつけ、一定期間を経過したものは処分やメンテナンスを行い必要な学生に譲る。
46	綺麗に整理された状態で張り紙を行う いつも綺麗にありがとうございますみたいな文で
47	放置自転車は、誰でも自由に乗って良いこととし、大学内の交通を便利にすることで、放置をさせない。
48	自転車置き場をキレイにし、増設する
49	地面に絵を描き、地面にデザイン性をもたせる。
50	放置自転車を監視していますと表示してカメラを分かる位置においておくと、なんとなく止めづらくなるかも。
51	「入学時にオリエンテーションとして放置自転車が多い場所に花や木などを植えたりして環境美化に対する自覚を持たせる」
52	大学の総務課で撤去ルールを決めて、全学に案内。チラシなども掲出する。
53	放置自転車をした人の名前を、大学内の掲示板に張り出す。
54	学籍番号付きのステッカーの貼り付けを義務付ける。
55	大学が自転車置き場を必要とするすべての生徒に専用の自転車置き場を作る。そうすれば専用置き場以外に置かれている自転車については放置自転車とみなし、処分しやすくなる。
56	放置自転車を全て取り除き罰則を与える。
57	放置の多い場所に　企業広告を置き　地面に　内定　試験　合格　採用　等の文字を書く
58	新しく自転車置き場を作る
59	２か月間所有の名乗りのない自転車は　自転車の欲しい大学生に卒業時まで貸し与え、痛みの激しい自転車は処分業者に依頼する。
60	職員を配置するなどして地道に声を掛けていく。
61	リサイクル自転車店と提携して、学内に告知をした上で、毎日決まった時間(できれば午前と午後の二回)に、指定場所以外に駐輪している放置自転車を回収して貰えば良いのではないでしょうか。
62	1:警備員を配置する。 2:放置自転車禁止の張り紙を設置する。 3:放置自転車をしている人を発見し、通報してくれた人に報酬を出すキャンペーンを実施する。
