label_index	winner_index	loser_index	evaluator_index
0	21	19	165
1	21	19	169
2	21	19	169
3	21	19	31
4	21	19	42
5	21	19	66
6	21	19	114
7	21	19	139
8	21	19	201
9	0	19	108
10	13	19	31
11	13	19	131
12	13	19	44
13	13	19	44
14	13	19	38
15	13	19	89
16	42	19	30
17	42	19	200
18	42	19	131
19	42	19	138
20	42	19	138
21	42	19	50
22	42	19	44
23	42	19	23
24	42	19	139
25	50	19	31
26	50	19	31
27	50	19	177
28	50	19	132
29	50	19	133
30	50	19	104
31	50	19	117
32	50	19	114
33	50	19	113
34	50	19	84
35	50	19	146
36	50	19	15
37	29	19	165
38	29	19	31
39	29	19	131
40	29	19	210
41	29	19	168
42	29	19	148
43	38	19	165
44	38	19	200
45	38	19	138
46	38	19	96
47	38	19	147
48	38	19	93
49	38	19	113
50	38	19	142
51	35	19	31
52	35	19	42
53	35	19	74
54	35	19	139
55	35	19	113
56	35	19	103
57	48	19	200
58	48	19	163
59	48	19	39
60	48	19	209
61	48	19	109
62	48	19	103
63	58	19	165
64	58	19	200
65	58	19	200
66	58	19	131
67	58	19	113
68	58	19	109
69	62	19	160
70	62	19	51
71	62	19	104
72	62	19	181
73	62	19	181
74	62	19	146
75	49	19	31
76	49	19	31
77	49	19	204
78	49	19	66
79	49	19	23
80	49	19	103
81	49	19	5
82	47	19	204
83	47	19	66
84	15	19	177
85	15	19	210
86	15	19	139
87	15	19	113
88	15	19	84
89	28	19	160
90	28	19	31
91	28	19	200
92	28	19	117
93	28	19	139
94	28	19	113
95	28	19	16
96	28	19	146
97	28	19	146
98	28	19	190
99	79	19	169
100	79	19	211
101	79	19	88
102	79	19	138
103	79	19	55
104	79	19	50
105	79	19	56
106	79	19	104
107	79	19	23
108	79	19	69
109	79	19	89
110	79	19	171
111	79	19	151
112	6	19	169
113	6	19	200
114	6	19	132
115	6	19	51
116	6	19	45
117	6	19	50
118	6	19	74
119	6	19	108
120	6	19	47
121	6	19	109
122	6	19	146
123	61	19	169
124	61	19	204
125	61	19	51
126	61	19	210
127	61	19	69
128	61	19	84
129	5	19	31
130	5	19	74
131	5	19	139
132	5	19	103
133	5	19	83
134	41	19	169
135	41	19	211
136	41	19	200
137	41	19	152
138	41	19	152
139	41	19	111
140	41	19	206
141	41	19	208
142	41	19	146
143	68	19	160
144	68	19	203
145	4	19	42
146	4	19	42
147	4	19	51
148	4	19	105
149	4	19	209
150	4	19	113
151	4	19	109
152	4	19	20
153	4	19	136
154	4	19	146
155	4	19	101
156	72	19	138
157	72	19	210
158	72	19	117
159	72	19	52
160	72	19	113
161	11	19	211
162	11	19	145
163	11	19	104
164	11	19	147
165	11	19	44
166	11	19	90
167	11	19	109
168	11	19	164
169	11	19	53
170	11	19	166
171	11	19	62
172	11	19	110
173	11	19	15
174	37	19	169
175	37	19	44
176	37	19	23
177	37	19	90
178	37	19	108
179	37	19	139
180	37	19	139
181	37	19	139
182	37	19	84
183	37	19	15
184	46	19	31
185	46	19	200
186	46	19	66
187	46	19	23
188	46	19	181
189	40	19	31
190	40	19	44
191	40	19	108
192	40	19	113
193	40	19	203
194	40	19	103
195	52	19	200
196	52	19	58
197	52	19	189
198	52	19	139
199	52	19	111
200	52	19	216
201	52	19	168
202	52	19	89
203	60	19	211
204	60	19	210
205	60	19	44
206	60	19	23
207	60	19	84
208	60	19	161
209	60	19	166
210	1	19	121
211	1	19	132
212	1	19	23
213	1	19	72
214	1	19	113
215	1	19	89
216	1	19	71
217	69	19	44
218	69	19	90
219	69	19	139
220	69	19	38
221	69	19	84
222	69	19	14
223	73	19	121
224	73	19	121
225	73	19	200
226	73	19	44
227	73	19	113
228	73	19	83
229	80	19	91
230	80	19	51
231	80	19	44
232	80	19	114
233	80	19	89
234	80	19	103
235	80	19	103
236	24	19	204
237	24	19	102
238	24	19	147
239	24	19	44
240	24	19	90
241	24	19	184
242	24	19	11
243	24	19	15
244	65	19	138
245	65	19	66
246	65	19	208
247	65	19	170
248	54	19	211
249	54	19	44
250	54	19	209
251	54	19	139
252	54	19	181
253	54	19	113
254	54	19	84
255	54	19	89
256	45	19	210
257	45	19	44
258	45	19	23
259	45	19	23
260	45	19	74
261	45	19	74
262	45	19	58
263	45	19	189
264	45	19	84
265	44	19	204
266	44	19	204
267	44	19	113
268	44	19	53
269	31	19	31
270	31	19	211
271	31	19	210
272	31	19	50
273	31	19	117
274	31	19	44
275	31	19	44
276	31	19	90
277	31	19	139
278	78	19	145
279	78	19	66
280	78	19	203
281	51	19	138
282	51	19	210
283	51	19	117
284	51	19	202
285	51	19	103
286	51	19	151
287	14	19	204
288	14	19	204
289	14	19	132
290	14	19	152
291	14	19	50
292	14	19	96
293	14	19	104
294	14	19	147
295	14	19	44
296	14	19	58
297	14	19	216
298	20	19	200
299	20	19	200
300	20	19	50
301	20	19	74
302	20	19	47
303	20	19	139
304	20	19	181
305	20	19	69
306	20	19	1
307	20	19	103
308	20	19	15
309	20	19	75
310	26	19	50
311	26	19	203
312	10	19	200
313	10	19	132
314	10	19	132
315	10	19	210
316	10	19	55
317	10	19	50
318	10	19	50
319	10	19	113
320	10	19	84
321	10	19	179
322	63	19	91
323	63	19	117
324	63	19	39
325	63	19	114
326	63	19	114
327	63	19	209
328	63	19	203
329	64	19	117
330	64	19	181
331	2	19	204
332	2	19	200
333	2	19	51
334	2	19	51
335	2	19	152
336	2	19	104
337	2	19	104
338	2	19	147
339	2	19	188
340	2	19	216
341	2	19	89
342	2	19	89
343	16	19	169
344	16	19	169
345	16	19	204
346	16	19	145
347	16	19	50
348	16	19	117
349	16	19	44
350	16	19	189
351	16	19	17
352	71	19	31
353	71	19	42
354	71	19	204
355	71	19	211
356	71	19	211
357	71	19	132
358	71	19	45
359	71	19	44
360	71	19	139
361	71	19	77
362	71	19	71
363	71	19	13
364	33	19	121
365	33	19	51
366	33	19	145
367	33	19	152
368	33	19	210
369	33	19	50
370	33	19	73
371	33	19	139
372	33	19	38
373	33	19	84
374	33	19	53
375	3	19	204
376	3	19	132
377	3	19	60
378	3	19	188
379	3	19	44
380	3	19	189
381	3	19	38
382	3	19	6
383	3	19	99
384	3	19	12
385	3	19	15
386	67	19	211
387	67	19	30
388	67	19	200
389	67	19	145
390	67	19	66
391	67	19	117
392	67	19	117
393	67	19	44
394	67	19	113
395	30	19	131
396	30	19	145
397	30	19	66
398	30	19	74
399	30	19	74
400	30	19	74
401	30	19	103
402	32	19	204
403	32	19	204
404	32	19	200
405	32	19	132
406	32	19	132
407	32	19	147
408	32	19	44
409	32	19	84
410	32	19	146
411	32	19	5
412	34	19	30
413	34	19	200
414	34	19	131
415	34	19	152
416	34	19	104
417	34	19	188
418	34	19	113
419	34	19	84
420	34	19	16
421	34	19	146
422	9	19	138
423	9	19	3
424	12	19	204
425	12	19	51
426	12	19	66
427	12	19	104
428	12	19	114
429	12	19	216
430	12	19	109
431	12	19	89
432	12	19	15
433	8	19	121
434	8	19	204
435	8	19	200
436	8	19	152
437	8	19	147
438	8	19	146
439	8	19	103
440	8	19	53
441	43	19	121
442	43	19	73
443	43	19	188
444	43	19	39
445	43	19	139
446	43	19	181
447	43	19	146
448	43	19	157
449	25	19	121
450	25	19	42
451	25	19	204
452	25	19	132
453	25	19	175
454	25	19	64
455	25	19	154
456	27	19	131
457	27	19	138
458	27	19	138
459	27	19	44
460	27	19	181
461	7	19	200
462	7	19	131
463	7	19	210
464	7	19	210
465	7	19	73
466	7	19	84
467	7	19	187
468	7	19	141
469	7	19	15
470	55	19	31
471	55	19	121
472	55	19	152
473	55	19	117
474	55	19	74
475	55	19	90
476	55	19	90
477	55	19	105
478	55	19	84
479	55	19	1
480	55	19	103
481	55	19	101
482	36	19	160
483	36	19	210
484	36	19	146
485	74	19	31
486	74	19	131
487	74	19	44
488	74	19	90
489	74	19	203
490	74	19	151
491	53	19	160
492	53	19	31
493	53	19	139
494	53	19	113
495	53	19	84
496	53	19	146
497	53	19	15
498	22	19	131
499	22	19	145
500	22	19	108
501	22	19	139
502	22	19	84
503	22	19	5
504	70	19	160
505	70	19	121
506	70	19	200
507	70	19	73
508	70	19	44
509	70	19	44
510	70	19	90
511	70	19	189
512	70	19	136
513	70	19	32
514	70	19	164
515	59	19	200
516	59	19	210
517	59	19	19
518	59	19	108
519	59	19	155
520	59	19	146
521	59	19	103
522	17	19	169
523	17	19	31
524	17	19	204
525	17	19	131
526	17	19	145
527	17	19	50
528	17	19	23
529	17	19	113
530	17	19	143
531	77	19	132
532	77	19	104
533	77	19	117
534	77	19	44
535	77	19	74
536	77	19	74
537	77	19	139
538	77	19	103
539	23	19	58
540	23	19	19
541	23	19	194
542	18	19	102
543	18	19	55
544	18	19	60
545	18	19	189
546	18	19	139
547	18	19	69
548	18	19	146
549	39	19	204
550	39	19	200
551	39	19	138
552	39	19	151
553	66	19	121
554	66	19	138
555	66	19	117
556	66	19	117
557	66	19	147
558	66	19	38
559	66	19	84
