viewpoint_index	viewpoint
0	場所とコストがかからないという点で優れている
1	自転車の機能がなくなるので抑止力になるという点で優れている
2	人に注意されるとめんどくさいので次回からやめようと思うという点で優れている
3	責任の所在をハッキリさせているという点で優れている
4	物理的に不可能にするという点で優れている
5	校則では守られていない現状を打破したいでという点で優れている
6	人件費がほとんどかからないという点で優れている
7	学生以外の人でも利用できる という点で優れている
8	予め撤去理由を告知しているという点で優れている
9	大学で責任をもって管理しているという点で優れている
10	放置自転車を大学構内の移動の利便性を高め、各自の移動における時間を短縮することができるという点で優れている
11	お金絡みで確実に放置自転車が減るという点で優れている
12	斬新さという点で優れている
13	要らない人もいる人も利点があるという点で優れている
14	罰則を付けることで生徒に危機意識を持たせるという点で優れている
15	学生の利便を満たしているという点で優れている
16	使えるものは使い無駄をなくすという点で優れている
17	確実にペナルティーを与えられるという点で優れている
18	放置自転車を指摘する警備員を配置する という点で優れている
19	回収後にも一定の猶予を与え判断させているという点で優れている
20	コストが安いという点で優れている
21	放置自転車を特定でき、トラブルを防止できるという点で優れている
22	強い規則性を持たせ個人を特定できるという点で優れている
23	誰もが簡単に対応できるという点で優れている
24	罰則を課すことによって強制力が生まれるという点で優れている
25	周囲からも高評価を得られるという点で優れている
26	具体的な罰金額を提示しているという点で優れている
27	所有者・届け人が明確に解り責任を追求できるという点で優れている
28	大学構内の移動に便利という点で優れている
29	処理の手間がかからないという点で優れている
30	対策が現実的で厳しさがありという点で優れている
31	強制的な処置という点で優れている
32	学生の良心に任せるのは教育的という点で優れている
33	一度の手間で敷地内が整備されるという点で優れている
34	自主的に放置させないアイデアであるという点で優れている
35	一石二鳥という点で優れている
36	期限がないという点で優れている
37	景観を美化するという点で優れている
38	素行の悪い者が当事者意識を持つという点で優れている
39	罰を与えるよりも使い勝手良くした方が良いという点で優れている
40	放置できなくするという点で優れている
41	良心への牽制になるという点で優れている
42	現代的で、見た目もよいという点で優れているです。
43	罰則として違反者にダイレクトに響くという点で優れている
44	自転車を利用する為のルールを作っているという点で優れている
45	良心的かつ効果的という点で優れている
46	撤去後の自転車の使い道を示しているという点で優れている
47	張り紙くらいでは解決しないという点で優れている
48	外部生で用事がある人も止められるという点で優れている
49	強制的という点で優れている
50	それでもダメなら罰をという点で優れている
51	罰則が明確で放置自転車を減らすことができるという点で優れている
52	強制せずに問題を解決するアプローチ という点で優れている
53	自転車が強制的に回収されてしまうという点で優れている
54	日本人の几帳面さの特質を活かしたという点で優れている
55	ルールを守らない人だけの問題にできるという点で優れている
56	対策のためのコストがかからないという点で優れている
57	自転車を放置する人間に向けて発信しているという点で優れている
58	強制的という点で優れている
59	手続きを踏ませ学生の意識を高めるという点で優れている
60	学生の自主性を尊重するという点で優れている
61	違反者にペナルティを科すという点で優れている
62	自転車を駐輪しやすくなるという点で優れている
63	一旦注意を促してからという点で優れている
64	経費も少ないという点で優れている
65	生徒に迷惑さを感じさせるという点で優れている
66	罰金を科すという明確なペナルティを設けているという点で優れている
67	トラブルのもとになるお金がからまないという点で優れている
68	自転車を置けなくするという点で優れている
69	綺麗に置こうという気持ちが芽生える という点で優れている
70	罰金という重たい処罰があるという点で優れている
71	対策として現実的という点で優れている
72	学生だけでなく、大学の関係者以外の人でも分かるという点で優れている
73	再利用が可能で、放置していても速やかに撤去できるという点で優れている
74	構内の自転車の数をコントロールできるという点で優れている
75	自転車を必要としている学生への配慮があるという点で優れている
76	解決方法が具体的で罰則も明快という点で優れている
77	放置を防ぐ手段として現実的かつ有効的だ という点で優れている
78	ルールが明確で、学生にもメリットがあるという点で優れている
79	放置を根本的に解決しているという点で優れている
80	設備費用等コストがかからないという点で優れている
81	放置自転車かどうかの区別がしやすいという点で優れている
82	ルールを守った側に利益があるという点で優れている
83	不特定多数以外の人物に対して良心に訴えるという点で優れている
84	罰金という分かりやすい罰がある点で優れている
85	単純ではあるものの実効性に優れているという点で優れている
86	放置自転車対策の財源ともなる方法 という点で優れている
87	放置自転車と区別しやすいという点で優れている
88	停めるのを躊躇うという点で優れている
89	強制的にルールを導入する点で優れている
90	持ち主がわかるという点で優れている
91	正規の自転車置き場を減らさないという点で優れている
92	実行するには現実味があるし、効果もありそうなので、優れている
93	本人と紐づくので抑止力になるという点で優れている
94	広い停める場所が沢山あるならという点で優れている
95	放置自転車を積み上げる労力がかからない点で優れている
96	恐怖心をあおるという点で優れている
97	安価だし心理的効果でも有効という点で優れている
98	放置自転車はいけないと自覚させるという点で優れている
99	対策がより具体的という点で優れている
