idea_index	idea
0	テスト中に巡回用の教師を一人配置し、カンニング対策する。
1	カンニングされないように常に見張っておく。
2	巡回を多くし、必要なもの以外はロッカーなどに入れる
3	数名の教師でチームを組み、見回り等の強化をする。
4	手荷物はすべて廊下に出させ、ポケットの中も何か入ってないか確認してからテストを受けさせる
5	一人ずつ机を離し、持ち物は筆記用具のみ机に出させる。
6	試験官が生徒の前に陣取るのではなく、生徒たちの後ろに陣取る。
7	教室の後ろから学生の試験を受ける様子をビデオ撮影し、その旨を学生にも予告する。
8	しっかりと様子を見る様にする。
9	他の空いてる教室も使っていいから教室毎に少人数に分けて、机と机の距離をできる限り離す
10	段ボールで机の上に囲いを作る。
11	問題の配列を変える
12	見回りや監視の際に、顔をしっかり上げておく。
13	座席をなるべく離す
14	テスト会場の教室に持ち込むものを、必要最低限のものだけに定める。
15	教室の後ろにいすを置いて、１０分ごとに生徒の机の列の端から端まで少しづつ移動して見張って生徒にプレッシャーを与え続ける。
16	カンニングが判明した時の罰則を重いものにする。例えばその定期テスト全教科を全て０点、内申点０点など。
17	学食または体育館など、通常の机を使わない場所で１人１人の席に間隔をあけてテストを行う。
18	問題を2種類作成し、教室の机の列ごとに異なる問題を配布する。
19	一室の受験者数を減らす。
20	体育館や運動場などの広い場所で間隔を空けてテストを行う。
21	カンニングをしても将来的に自分のメリットにならないことをしっかりとく。
22	筆記用具のみを持ち、1科目ごと、開始前に席替えをしたら良いのではないでしょうか。
23	座席と座席の間をなるべく空けて、隣から覗き込めないようにする。
24	日々の授業が、一人一人にとって具体的で理解しやすいよう、専門職「教師」として工夫する。
25	問題の順番を並び替えたものを２種類用意して、隣の列と同じ問題の順番にならないように配布する。
26	テストを受ける教室を当日指定する。
27	問題のストックを出来るだけたくさん用意して、各自のテスト内容を変える。 持ち込み可にして、単なる知識量の確認のテストは行わない。
28	とにかく細かく生徒達を目視して自分の目でカンニングしてないかチェックするようにする。
29	普段から生徒に口やかましく、カンニングは、犯罪だと伝えておく
30	筆記用具は鉛筆と消しゴムのみ使用可、机を空にし席順はランダムに座らせたあと隣同士で開始前に制服のポケットをひっくりかえして互いに確認させる、その後テスト開始。
31	カンニングしたら、どうなるかの意識の徹底。  持ち物検査。
32	机の上に筆記用具を並べ、机の中は空にする。また机の横に物をかけない
33	カンニングをして得た答えに何の価値もないと日頃から生徒に伝える。または、以前カンニングをした生徒が｛退学、停学、０点｝など酷い結末を迎えたという疑似体験談を生徒に伝える。
