idea_index	idea
0	早く集まった者から何かしら優先順位を付ける。
1	企業の場合、遅刻等も成績に含むようにする。  学生などのサークルの場合初めから開始時間を本来の時間よりも早くして伝える。
2	まず､ひとりひとりにアンケートを取るべきですし､じっくり話し合いが必要だと思います｡それでもだめなら､多分その人の資質の問題でしょうから､直すのは難しいと思います｡その点においては問題があっても､大事な人材ですからむげにはできません｡とすれば､こちらが変わるしかないのでは｡メンバーが感じている点をまず知り､そこを改善することから始めてみては｡そこから新たな発見や､より効率のよい方法がみつかるかもしれません｡
3	週１回程度の休憩時間中のお昼ごはんミーティングにして、10分程度で切り上げられるようにする。 
4	ミーティングに報酬を出す
5	ミーティングの集まりを、LINEなどを用いたものに代替する。
6	遅刻者、欠席者には罰則を設ける。（差し入れをみんな分買ってくるなど）
7	時間通りにこなかった人は、ミーティングでかかった料金を支払うようにする。
8	職場や部活動でのミーティングの場合は確実に皆の集まっているタイミング（朝礼のあとや終業時間のあと等）に組み込む
9	負の強化、もしくは正の強化を試みてみる。 負の強化とは、遅れたら罰則を与えるとか、次回の進行役をしてもらうなどなど。また正の強化は、時間どうりに来た人には、得点が与えられる。それが評価につながるというご褒美です。このようにダメなことをして罰するか、良いことをして評価する。どちらかでミーティングの集まりを改善する。
10	ミーティングの環境を良くする。
11	ミーティングに一定以上の回数参加しなかったり遅れたりした人にはペナルティーを課す。
12	ミーティングとは知らせず、ひとりひとりに「相談があるから○時に○に来て」と知らせる。その際他言しないように伝える。
13	集まる人全員をラインやメール等に登録し、前々日、前日、当日とこまめに連絡をする。
14	ミーティングの開始を始業時間にする。
15	出席率の悪い人や遅れてくる人には、ミーティングの際に出すお茶やお茶菓子の質や量を下げることにするとか。
16	遅刻した人は　みんなの貯金箱に１００円を入れるという約束を作り、お金がたまったら　ミーティングでおいしいスィーツをだす。
17	ミーティングのテーマ、内容を具体的に示すことで当事者意識を持たせる。開始時刻より集合時間を早く伝える。
18	ミーティングが重要性があまりないと思われると集まりが悪くなったりします。 このミーティングは重要である、必要である、と思ってもらう為にはメールや電話でもう一度確認の連絡をしたらいいと思います。
19	少しはやめの時間に、美味しい飲み物やお菓子、食事を出す。
20	ミーティングをティーパーティーのようにお菓子・飲み物を食べ飲み放題とし、面倒なものから楽しいものに印象を変える。
