label_index	winner_index	loser_index	evaluator_index
0	70	33	23
1	70	33	4
2	70	33	4
3	70	33	72
4	70	33	32
5	70	33	34
6	70	33	53
7	70	33	82
8	70	33	87
9	70	33	145
10	70	33	123
11	70	33	61
12	43	33	113
13	43	33	42
14	43	33	33
15	43	33	153
16	43	33	84
17	43	33	87
18	43	33	167
19	43	33	154
20	43	33	164
21	77	33	35
22	77	33	21
23	77	33	97
24	77	33	127
25	77	33	161
26	77	33	57
27	77	33	32
28	77	33	85
29	77	33	167
30	77	33	102
31	26	33	23
32	26	33	137
33	26	33	159
34	26	33	48
35	26	33	29
36	26	33	84
37	26	33	117
38	26	33	102
39	34	33	23
40	34	33	171
41	34	33	71
42	34	33	161
43	34	33	113
44	34	33	40
45	34	33	8
46	34	33	43
47	34	33	150
48	34	33	133
49	34	33	175
50	34	33	122
51	59	33	4
52	59	33	107
53	59	33	57
54	59	33	40
55	59	33	82
56	59	33	8
57	59	33	84
58	59	33	13
59	59	33	87
60	59	33	10
61	59	33	150
62	56	33	21
63	56	33	99
64	56	33	82
65	56	33	82
66	56	33	153
67	69	33	21
68	69	33	41
69	69	33	113
70	69	33	57
71	38	33	21
72	38	33	91
73	38	33	111
74	38	33	14
75	38	33	53
76	38	33	27
77	38	33	87
78	38	33	90
79	54	33	23
80	54	33	21
81	54	33	159
82	54	33	14
83	54	33	40
84	54	33	33
85	54	33	33
86	54	33	82
87	54	33	87
88	54	33	150
89	54	33	167
90	54	33	67
91	28	33	171
92	28	33	4
93	28	33	14
94	28	33	126
95	28	33	33
96	28	33	53
97	28	33	153
98	28	33	87
99	36	33	23
100	36	33	159
101	36	33	159
102	36	33	89
103	36	33	49
104	36	33	13
105	36	33	133
106	36	33	176
107	0	33	33
108	0	33	27
109	0	33	150
110	0	33	102
111	0	33	102
112	47	33	41
113	47	33	41
114	47	33	52
115	47	33	71
116	47	33	79
117	47	33	30
118	47	33	42
119	47	33	85
120	47	33	3
121	47	33	8
122	47	33	84
123	47	33	151
124	73	33	23
125	73	33	171
126	73	33	161
127	73	33	113
128	73	33	57
129	73	33	89
130	73	33	119
131	73	33	47
132	73	33	153
133	73	33	9
134	73	33	67
135	73	33	5
136	4	33	171
137	4	33	132
138	4	33	159
139	4	33	14
140	4	33	126
141	4	33	89
142	4	33	85
143	4	33	139
144	4	33	87
