idea_index	idea
0	駅まで女子一人では帰らないようしましょう。できるだけ何人かまとまって帰り、それがかなわない場合は 残業をしない、またタクシーを利用する、まいかーつうきんにする。
1	駅を利用する他の従業員と一緒に、集団で駅へ向かう。
2	小さな懐中電灯を点灯させながら歩く。防犯ブザーをカバンの外側につけておく。
3	太陽光発電式のライトを設置する。
4	駅までは、なるべく誰かと一緒に帰る。
5	護身できるものを持ち歩く。
6	遠回りしても明るい道を行く、気分を紛らわす為に誰かと電話で話しながら歩く、
7	屋台や飲食店が店を構えやすいよう優遇措置をとる。
8	行政に明かりをつけるよう相談する
9	歩きながら携帯電話で会話をするふりをして移動する。
10	小さな懐中電灯、防犯ブザーを持参します。暗い道には懐中電灯を使用します。 それか自転車を駅まで乗っていきます。できるだけ危険を感じるところにいる時間を短縮したいためです。 
11	遠回りでも明るい道を選んで歩く。
12	懐中電灯を使用する
13	少し遠回りでも明るい道を歩くか、携帯で話してるように見せかけて歩く。
14	防犯ブザーを身につける、残業も何時までしか残れないなど駅まで数人で帰れたりするような会社内で改善のルールを作る
15	同じ駅を利用する人と一緒に帰宅する。
16	会社で同じような悩みを持つ人たちと集団で帰る
17	携帯をみながらなどのながら歩きはしないで、背後にも注意する。
18	同じ部署に駅方面へ行く人がいれば同行する。どうしても一人になってしまう場合は高輝度の懐中電灯で周りを照らしながら帰る。
19	タクシーを使って駅まで向かう。
20	2人以上で帰宅する様にする。
21	大声で叫びながら歩く
22	蛍光板など目立つ素材のものを身に着ける
23	なるべく明るい道、および複数で帰宅する
24	１人で出歩かないようにする
25	同じ駅を利用する社員同士でグループを組み、二人以上で帰宅するようにする。
26	帰宅時間が被る社員の方と駅まで一緒に帰る。
27	携帯電話で話しているフリをしながら歩く。
28	遠回りでも明るい道を選んで帰ることができないなら、警察や市役所にもっと街灯を増やしてくれるよう訴える。
29	街灯をつけてもらうように役所に相談してみる。
30	オフィスから駅までの間にコンビニやレストランなどの夜間営業する店舗を招致する。
31	見知らぬ人に吼える犬を連れて歩く。
32	タクシーで駅まで帰る。
33	なるべく同僚と一緒に帰り、やむを得ない場合は安全な道を使って迂回する。
34	警報音のなる、警備保障会社に直通に通報できる機器のスイッチボタンに指をのせて帰宅する。
35	携帯型の懐中電灯を持ち歩くようにする。
36	誰かと電話をしながら歩く。
37	遠回りしてでも、安全そうな道を選んで帰宅する。
38	他に同じ道を歩いている人がいたら程よい距離で歩く。 
39	タクシーを利用する
40	自転車を会社に置き 自転車で駅に向かう。 歩くよりは危険を回避できる。
41	業者に頼んで街灯をいくつか設置してもらう。
42	携帯電話で誰かと話をしている風を装う。
43	一人で帰宅しないようにして必ず複数人で帰宅するようにする。
44	仕事をできるだけ早い時間に終えるよう、始業時間よりも早く通勤する、または始業時間を早めてもらうよう掛け合う。
45	オフィスから駅までは、タクシーかバスを使って移動するようにする。
46	一人で帰らず、知り合いと一緒に帰るようにする。
47	その道からの帰宅を会社として推奨し、人通りを一定数以上に保つ。
48	暗くなる前に帰宅する。
49	複数人で帰るようにする。
50	万が一に備え、防犯グッズを常に持っておく。
51	遠回りになっても暗い道を避ける。
52	大きめの声で歌を歌って、危ない人のフリをする
53	「駅まで迎えに来てもらい、一緒に帰る」
54	電話をしながら歩けるよう電話応対サービスを行う。電話中はGPSで歩行位置がサービス会社で確認され、異変が起きた時は直ちに最寄りの警備会社や警察に連絡が入る。
55	カラオケのように本気で歌いながら歩くと変な人と思われて危険が減ると思う。
56	防犯ブザーを持ち歩き、何かあればすぐに使用できるようにしておく。
57	防犯ベルを複数持つ。なるべくタクシーを使う。
58	誰か人と一緒に歩く。
59	懐中電灯の持参。なるべく一人で帰らない
60	自治体に、照明の設置を訴える。
61	タクシーを使う。
62	オフィスまで自転車やバイクで行く  遅くなった日は必ず同僚や友人と帰る    
63	オフィスから出る際に一人ではなく複数人で出る事を心がける。
64	「防犯グッズをわざと見えるところに付けたり持ったりして隙を見せないようにする。」
65	1人ではなく同僚と帰宅するようにする
66	社員全員帰宅時間を一緒にし、ライトを持って集団で駅までは帰る。
67	すぐに誰かに携帯で繋げる状態にしておく また防犯ブザーをもつ
68	オフィスで同じ時間に帰宅するもので二人組を作る。
69	ボディーガードをつける 武装する 夜の時間をさけてとおる
70	防犯ブザーを持ち、懐中電灯で道を照らし明るくして、なるべく小走りで駅まで片手に何かあったらすぐ電話できるようにスマートフォンを持つ。
71	防犯ブザーの携帯、LEDライトを持ち歩く。
72	明るいライトを持っておいて照らすのはもちろんだけど、帰る前にズボンに着替えてメガネやマスクをして髪の毛は帽子に入れて隠し怪しい人風に変装して帰る
73	携帯電話の防犯用着信音機能を準備し、画面を点灯させておく。
74	明るいうちに帰宅できるようにするか、遅くなるときには同僚と帰れるように調整する
75	仕事時間が遅くなる場合は打ち切らせ、朝早くからやらせていく。残業代も朝からやった方が多くなるようにする
76	電話をしながら(かけているふりでもOK)、早足で歩く
77	「ヘッドライト、または懐中電灯を手に持つ。」
78	職場のだれかと同じタイミングで退社。それが無理な日はタクシーを使ってよいと職場の了承を得る。
79	タクシーを使う
