label_index	winner_index	loser_index	evaluator_index
0	20	54	131
1	20	54	131
2	20	54	120
3	20	54	76
4	20	54	76
5	20	54	165
6	20	54	152
7	20	54	31
8	20	54	99
9	20	54	151
10	20	54	107
11	20	54	159
12	20	54	138
13	20	54	163
14	20	54	163
15	20	54	163
16	67	54	113
17	67	54	60
18	67	54	93
19	67	54	163
20	67	54	25
21	34	54	131
22	34	54	122
23	34	54	95
24	34	54	31
25	34	54	91
26	34	54	91
27	34	54	84
28	34	54	60
29	34	54	112
30	34	54	109
31	64	54	95
32	64	54	113
33	64	54	88
34	64	54	101
35	64	54	93
36	52	54	131
37	52	54	78
38	52	54	43
39	52	54	107
40	52	54	107
41	52	54	93
42	52	54	48
43	52	54	25
44	52	54	57
45	16	54	12
46	16	54	147
47	16	54	149
48	16	54	149
49	16	54	149
50	16	54	125
51	16	54	165
52	16	54	130
53	16	54	105
54	16	54	110
55	16	54	94
56	16	54	5
57	16	54	108
58	16	54	138
59	16	54	163
60	16	54	109
61	12	54	131
62	12	54	113
63	12	54	149
64	12	54	161
65	12	54	85
66	12	54	40
67	26	54	135
68	26	54	135
69	26	54	95
70	26	54	149
71	26	54	149
72	26	54	139
73	26	54	6
74	26	54	87
75	26	54	107
76	26	54	74
77	26	54	48
78	26	54	48
79	26	54	15
80	26	54	64
81	26	54	163
82	43	54	23
83	43	54	51
84	43	54	51
85	43	54	95
86	43	54	76
87	43	54	31
88	43	54	31
89	43	54	55
90	43	54	55
91	43	54	91
92	43	54	60
93	43	54	74
94	43	54	115
95	74	54	51
96	74	54	156
97	74	54	149
98	74	54	161
99	74	54	161
100	74	54	161
101	74	54	165
102	74	54	31
103	74	54	139
104	74	54	139
105	74	54	139
106	74	54	105
107	74	54	107
108	74	54	85
109	74	54	85
110	74	54	40
111	74	54	150
112	74	54	163
113	32	54	23
114	32	54	122
115	32	54	58
116	32	54	113
117	32	54	76
118	32	54	125
119	32	54	55
120	32	54	100
121	32	54	170
122	32	54	170
123	32	54	34
124	32	54	145
125	32	54	74
126	32	54	119
127	32	54	15
128	66	54	82
129	66	54	161
130	66	54	165
131	66	54	99
132	66	54	91
133	66	54	43
134	66	54	75
135	66	54	101
136	66	54	124
137	66	54	109
138	35	54	131
139	35	54	135
140	35	54	135
141	35	54	78
142	35	54	125
143	35	54	87
144	35	54	60
145	35	54	101
146	35	54	40
147	35	54	35
148	5	54	91
149	5	54	130
150	5	54	105
151	5	54	105
152	5	54	85
153	5	54	163
154	45	54	147
155	45	54	161
156	45	54	139
157	45	54	105
158	45	54	151
159	45	54	107
160	45	54	164
161	45	54	75
162	45	54	101
163	45	54	85
164	45	54	56
165	45	54	108
166	45	54	64
167	11	54	131
168	11	54	23
169	11	54	78
170	11	54	31
171	11	54	45
172	11	54	121
173	11	54	60
174	11	54	75
175	11	54	158
176	11	54	93
177	11	54	93
178	11	54	108
179	11	54	163
180	18	54	135
181	18	54	113
182	18	54	99
183	18	54	100
184	18	54	121
185	18	54	87
186	18	54	151
187	18	54	151
188	18	54	42
189	18	54	75
190	18	54	85
191	18	54	65
192	18	54	115
193	46	54	12
194	46	54	122
195	46	54	58
196	46	54	147
197	46	54	76
198	46	54	165
199	46	54	139
200	46	54	14
201	46	54	45
202	46	54	121
203	46	54	151
204	46	54	170
205	46	54	93
206	46	54	93
207	46	54	93
208	46	54	64
209	49	54	51
210	49	54	122
211	49	54	95
212	49	54	156
213	49	54	147
214	49	54	125
215	49	54	152
216	49	54	55
217	49	54	121
218	49	54	107
219	49	54	34
220	49	54	84
221	49	54	101
222	49	54	15
223	49	54	108
224	49	54	64
225	49	54	163
226	49	54	25
227	36	54	95
228	36	54	147
229	36	54	149
230	36	54	151
231	36	54	107
232	25	54	12
233	25	54	95
234	25	54	149
235	25	54	149
236	25	54	99
237	25	54	151
238	25	54	74
239	25	54	101
240	25	54	5
241	25	54	4
242	25	54	15
243	25	54	11
244	59	54	51
245	59	54	95
246	59	54	149
247	59	54	125
248	59	54	13
249	59	54	165
250	59	54	55
251	59	54	45
252	59	54	87
253	59	54	169
254	59	54	60
255	59	54	74
256	59	54	101
257	59	54	94
258	59	54	32
259	59	54	20
260	59	54	25
261	27	54	51
262	27	54	135
263	27	54	135
264	27	54	13
265	27	54	130
266	27	54	53
267	27	54	60
268	27	54	60
269	27	54	101
270	27	54	85
271	21	54	95
272	21	54	130
273	21	54	107
274	38	54	135
275	38	54	58
276	38	54	149
277	38	54	125
278	38	54	125
279	38	54	13
280	38	54	34
281	38	54	60
282	38	54	56
283	38	54	48
284	38	54	116
285	56	54	51
286	56	54	135
287	56	54	80
288	56	54	43
289	56	54	6
290	56	54	112
291	56	54	4
292	71	54	12
293	71	54	78
294	71	54	13
295	71	54	45
296	71	54	87
297	71	54	34
298	71	54	85
299	71	54	124
300	71	54	59
301	53	54	131
302	53	54	95
303	53	54	149
304	53	54	52
305	53	54	170
306	53	54	75
307	53	54	74
308	53	54	101
309	53	54	85
310	53	54	85
311	53	54	167
312	53	54	64
313	53	54	90
314	53	54	163
315	53	54	163
316	39	54	113
317	39	54	113
318	39	54	149
319	39	54	161
320	39	54	161
321	39	54	165
322	39	54	121
323	39	54	73
324	39	54	34
325	39	54	145
326	39	54	75
327	39	54	94
328	39	54	85
329	39	54	85
330	39	54	56
331	79	54	23
332	79	54	165
333	79	54	107
334	79	54	107
335	79	54	107
336	79	54	170
337	79	54	75
338	79	54	85
339	79	54	39
340	79	54	93
341	79	54	93
342	79	54	108
343	79	54	138
344	79	54	163
345	60	54	131
346	60	54	131
347	60	54	135
348	60	54	165
349	60	54	49
350	60	54	75
351	60	54	25
352	48	54	95
353	48	54	95
354	48	54	125
355	48	54	161
356	48	54	55
357	48	54	155
358	48	54	60
359	48	54	158
360	48	54	163
361	75	54	156
362	75	54	156
363	75	54	147
364	75	54	13
365	75	54	55
366	75	54	91
367	75	54	43
368	75	54	75
369	75	54	129
370	75	54	37
371	75	54	90
372	29	54	12
373	29	54	149
374	29	54	80
375	29	54	161
376	29	54	121
377	29	54	121
378	29	54	87
379	29	54	4
380	37	54	23
381	37	54	78
382	37	54	88
383	37	54	161
384	37	54	139
385	37	54	42
386	37	54	75
387	37	54	74
388	37	54	101
389	37	54	85
390	37	54	167
391	61	54	23
392	61	54	51
393	61	54	58
394	61	54	88
395	61	54	165
396	61	54	43
397	61	54	151
398	61	54	84
399	61	54	112
400	61	54	93
401	61	54	40
402	61	54	77
403	61	54	109
404	73	54	95
405	73	54	78
406	73	54	125
407	73	54	169
408	73	54	112
409	73	54	74
410	73	54	74
411	73	54	39
412	77	54	131
413	77	54	58
414	77	54	95
415	77	54	125
416	77	54	88
417	77	54	88
418	77	54	45
419	77	54	107
420	77	54	140
421	14	54	147
422	14	54	149
423	14	54	165
424	14	54	55
425	14	54	14
426	14	54	170
427	14	54	84
428	14	54	75
429	14	54	74
430	14	54	101
431	14	54	85
