idea_index	idea
0	よく使われる標識などをまとめたガイドブックを配布する。
1	説明の必要そうな複雑のものにかんして、実演ＶＴＲを流す。 棒人間などによる人間工学に基づいた言語（→人体語）をこくないに普及させる。
2	防水　大判　軽くて　丈夫で安価な　翻訳アプリ搭載機を　街のあちこちに置き、外国の方がすぐにかざせるようにする。
3	日本の観光名所で海外からの観光客向けにスタンプラリーを開催する。
4	スマホ用の画像認識アプリを作成し、文字認識機能や画像のマッチング機能（標識などのため）を搭載する。撮った画像の不明な部分をドラッグで囲うなどすれば、自動的にマッチング機能が翻訳・通訳してくれる、というようにすればよい。
5	ピクトグラムなど、視覚的にわかりやすく言語に依存しないものを使用する。
6	標識を英語で書き、英語で説明を記した看板を配置する。
7	伝えたい事柄の動作をイラストで表記する
8	日本国内で通用する、共通のイラストを設定する。
9	その国で使われている同じ意味の標識の絵や写真など見せたり、説明しなくても一目で見てわかる絵などを提示する
10	アプリ（スマホで撮った写真から標識などの文字列を翻訳するもの）をスマホにインストールして使ってもらう。
11	標識などの写真の日本語を母国語に変換するアプリを無料ダウンロードできるサービスを行う。
12	商業施設や各学校、スポーツジム、飲食店など、様々な場所で簡単な英会話教室を頻繁に開催し、外国人観光客に話しかけることに抵抗感のない日本人を増やす。
13	簡単に使えて高機能なアプリを開発して利用してもらう
14	標識などになるべく多くの言語で内容を併記する。
15	標識や掲示を画像で認識することで日本語の部分を他国の言語に自動修正するようなスマートフォン用アプリを作成し、海外からの訪問者に積極的に紹介する。
16	文字だけでなく、分かりやすい絵を記入しておく。
17	「ピクトグラムを増やして、理解してもらう」
18	様々な言語の方にも対応できるよう、わかりやすいイラストを添える。
19	使用方法や場所や内容の説明など、イラストや写真を使った漫画形式やジェスチャーゲーム的な看板や標識・案内図を作って、日本語が分からなくても理解できるようにする。
20	スマートフォンのアプリでバーコードリーダーのように文字に向けると 言語を変換できるといったアプリがあるとかなり楽になると思います。  ただ、アプリ開発などをしたことがありませんので それが現実的に可能かどうかはわかりません。
21	外国語での説明文を増やす。
22	標識や説明に絵で分かるような工夫を加える
23	重要な内容だけ抜粋し翻訳してあげる。
24	対応アプリの作成普及。 パスポートを作成するさいにのせる 
25	スマートホンを携帯し、Google翻訳カメラでわからない日本語をスキャンして翻訳する。
26	その土地の楽しみ方を外国人向けにガイドブックのようなものを作る。そのガイドブックは何ヶ国語で記載されたもの？
27	最低限必要な情報を書いたガイドブックを作り、空港で配布する。
28	Google翻訳のようなスマートフォンアプリによる画像翻訳を推奨する。 スマートフォンを持たない旅行者には端末を貸し出す。 返却確認にはスマートフォンにRFIDタグを仕込んでおき、出国審査の際に確認できるようにしておく。
29	歴史の説明など複雑な内容についてはドラマやアニメーションにしてモニターで流す。
30	「その場所に行くと標識や名称など各国の言葉で通訳することができるアプリの活用やタブレットなどの貸し出しをする」
31	国別、言語別にパンフレットを作成し大使館の場所や言葉の通じやすい場所やホテルなどをパンフレットにて紹介、または国別のコンシェルジェサービスを設立する
32	標識や説明を言葉だけではなく、ピクトグラムのような図や絵も一緒に載せることでより理解しやすいものになり、日本滞在も心地いいものとなると思います。
33	トイレのマークのように誰でもわかるような絵を使ったものにする、
34	スマホアプリで日本語表記の所をカメラで認識させるとすぐさま翻訳してくれる機能の開発があると便利！
35	海外旅行者が気軽に声をかけられるように『気軽に声をかけてください』と書かれたキーホルダーやマークを普及させる ※臓器提供意志カードみたいなもの  空港に日本の標識やルールがまとめて書いてあるパンフレットを置く  交番や大使館、外国語が話せる人が在中している店などが書いた地図や地図アプリを作成しる
36	一つ一つ英語標識に全てする。標識を絵標識にしてわかりやすくする。
37	日本語の表記だけではなく、英語の表記も入れるようにする。ビジュアルもそこに併記するとさらにわかりやすい。
38	彼らと常に一緒にいる通訳を、準備する
39	主な標識とその意味を英語に訳した一覧表を作成して空港などで旅行者に手渡すようにする。
40	一番いいのは、日本人の友達をたくさん作っておく事だと思います。 それがかなわないなら、一人、ガイドを付ける事。 でも、見知らぬ日本に来て、いろいろ迷う事も楽しい思い出になると思います。
41	世界の公用語である英語の表記。また、観光地では英語の音声案内も採用する。
42	標識などにスマートフォンをかざすと母国の言葉に替えてくれるアプリがあればいい。
43	OCRと翻訳が瞬時にできるアプリの開発
44	全てのものに、二ヶ国語表記をする。
45	いつでも聞いてください､私たちはあなたの手助けをします｡ というメッセージを常に発信し､そのようなマークをいたるところに貼るのは いかがでしょうか｡ 
46	英語などの外国語を併記する。
47	ガイドブックに書かれている内容と標識等の表示をリンクさせる
48	全ての標識や説明に英語をつけるか、イラストで表すようなユニバーサルデザインにする。
49	標識に正しい英語を併記する。ボタンを押したら英語が流れる標識を作る。
50	英語の音声で案内してくれる看板を作る。
51	スマホをかざせば説明してくれるアプリの開発をする
52	ピクトグラムの様に明快な図を使って言語に頼らずに理解出来る様にする。
53	見た目だけで分かるような、指示性の高いマークを使用する。
54	日本語が書かれた標識の横に、標識の意味を簡略化した絵をつける。
55	ARやQRを標識や説明に取り込み、見る人の母国語でその意味を伝達できるようにする。
56	外国人が頼りにしそうな掲示物にはわかりやすいイラストを加える。
57	日本語表記と英語表記を記載する。
58	各標識や看板に通訳の内容のQRコードのシールを張り付ける。
59	標識にイラストや写真などをつけて、パッと見でわかりやすくする。
60	携帯をかざすと　自国版に変換してくれるアプリ
61	標識や説明にQRコードを付けて、スマホやタブレットで読み込めば自国の言語に置き換えて表示してくれるようにする。
62	たとえば、スマホのカメラでかざすと文字や漢字を認識し、それを他の言葉に翻訳してくれるアプリがあればいいかなと思いました。スマホが認識した文字や漢字があっているか確認でき、日本語でどう読むのかローマ字表記をできたり、いろんな言語に翻訳できたりしたら便利だと思います。
63	標識だけは世界基準に合わせていく
64	文字だけではなく絵で分かる標識を作る。
65	言葉だけではなく、イラストや記号で表現した看板などを増やす。
66	日本語標記の傍に、QRコードなどをつけ、スマホで撮ると、必要な外国語での情報が簡単にとれる
67	どのような母国語の人でも理解できるよう、図やアイコンで示す
68	「標識や説明に機会を向けると翻訳してくれる音声ガイダンスを利用する。」
69	入国手続きの際に格安で書いてある文字を翻訳できるようなソフトを貸出しする
70	言葉だけではなく、絵等を使って表現する
71	1：英字での表記を追加する。 ２:標識や看板をカメラで撮影するとそのメッセージを解析し、旅行者の母国語に変換してくれるようなスマートフォン・アプリを開発する。
72	図やイラストを多用し、言語がわからなくても意味を推察できる標識や説明を増やす。
73	英語表記の標識や説明を増やす。また全国どこでも使えるような簡単なガイド資料を用意する。
74	地図ソフトアプリに標識をタッチすると意味が出るようにする。
75	物や動きを簡単なイラストにして、マルやバツを書いて禁止行為などを示すシールやポスターを貼る。
76	標識を万人が理解しやすいロゴやマークにする。
77	標識だけのガイドブックをつくる。
78	よくある標識の説明や日本の交通機関の案内、必要最低限わかると道を尋ねる時などに困らない日本語などがまとめられたサイトかアプリをそれぞれの国の言葉で出す。
79	特に外国人が多く訪れる場所や道路の標識に英語表記を加える
80	携帯電話のカメラで撮影して、その画像や似たような画像を検索できるサイトを作る。説明文は誰でも投稿できるようにして、翻訳機能も使用できるようにしておく。
